Key_bits,KS (5-qubit)
0,1110
1,11
10,11100
11,10011
100,10011
101,11011
110,10
111,11000
Key_bits,KS (4-qubit)
0,111
1,1
10,1110
11,1001
100,1001
101,1101
110,1
111,1100
Key_bits,KS (3-qubit)
0,11
1,0
10,111
11,100
100,100
101,110
110,0
111,110
